Run with 32 processes and 2^10 elements per node
step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,0298;0,0164;0,0215;0,0294;0,00027;0,0128;0,0133;0,000678;0,000698;0,000727
2;0,0164;0,0164;0,0215;0,0295;0,000101;0,00594;0,0131;0,000181;0,000195;0,000223
3;0,0164;0,0164;0,0215;0,0295;0,000139;0,00605;0,0132;0,000186;0,000196;0,000225
4;0,0258;0,0164;0,0215;0,0294;0,00966;0,0156;0,0227;0,000169;0,000177;0,000202
5;0,0164;0,0164;0,0215;0,0295;0,000139;0,00595;0,0131;0,000182;0,000193;0,000223
6;0,0164;0,0164;0,0215;0,0295;0,000144;0,00606;0,0132;0,000177;0,000192;0,000222
7;0,0246;0,0164;0,0215;0,0294;0,00844;0,0143;0,0215;0,000167;0,000178;0,000201
8;0,0164;0,0164;0,0215;0,0296;0,00014;0,00595;0,0131;0,000179;0,000189;0,00022
9;0,0164;0,0164;0,0215;0,0295;0,000137;0,00613;0,0133;0,000178;0,00019;0,000219
10;0,0248;0,0164;0,0216;0,03;0,00839;0,0143;0,0214;0,000172;0,000181;0,000205

real	0m0.559s
user	0m12.956s
sys	0m1.596s
Request ID: 139217.ace-ssiox
    Request Name = gravitation_32_10
    User  Name = sunms434
    User  ID   = 62718
    Group ID   = 8229
    Current State           = Running
    Previous State          = Pre-running
    State Transition Time   = Thu Jun  7 15:32:31 2018
    State Transition Reason = PRERUN_SUCCESS
    Queue = clexpress@ace-ssiox (Execution Queue)
    Job Topology = INTMPI Job
    Request Privilege = Level 0
    Ticket Key        = (none)
    Request Priority  = 0
    Request Loglevel  = 0
    Rerunable    = Yes
    Holdable     = Yes
    Hold Type    = (none)
    Migratable   = Yes
    Suspend Type = (none)
    Account Code = (none)
    Stdout = nesh-fe1:/gpfs/fs5/home-sh/sunms434/gravitation/grav_32_10.csv
    Stderr = nesh-fe1:/gpfs/fs5/home-sh/sunms434/gravitation/grav_32_10.csv
    Reqlog = (none)
    Shell = (none)
