old_local:C 	 new_local: de_DE.UTF-8

Run with 32 processes and 2^11 elements per node
step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

1;0,0429;0,0419;0,0545;0,0839;0,000495;0,00118;0,00184;0,000669;0,000758;0,000887
2;0,0409;0,042;0,0544;0,0838;0,000159;0,0251;0,0396;0,000221;0,000237;0,000255
3;0,0409;0,042;0,0544;0,0838;0,000151;0,0252;0,0396;0,000227;0,000239;0,000272
4;0,0409;0,042;0,0544;0,0839;0,00015;0,0251;0,0396;0,000229;0,000242;0,000272
5;0,0409;0,042;0,0544;0,0838;0,00015;0,0252;0,0396;0,000233;0,000243;0,000268
6;0,0408;0,042;0,0543;0,0838;0,000155;0,0252;0,0396;0,000215;0,000226;0,000243
7;0,0492;0,0435;0,0548;0,084;0,000149;0,0251;0,0396;0,000224;0,000232;0,000264
8;0,0409;0,0421;0,0544;0,084;0,00015;0,0252;0,0396;0,000227;0,000237;0,000264
9;0,0409;0,042;0,0544;0,0838;0,000149;0,0253;0,0397;0,000228;0,000239;0,000255
10;0,041;0,0421;0,0546;0,0846;0,000148;0,0251;0,0396;0,000227;0,000251;0,000278

real	0m1.069s
user	0m26.423s
