old_local:C 	 new_local: de_DE.UTF-8

Run with 32 processes and 2^10 elements per node
step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

old_local:C 	 new_local: de_DE.UTF-8

1;0,0182;0,0173;0,0218;0,0277;0,00038;0,000622;0,000786;0,000587;0,000651;0,000723
2;0,0165;0,0162;0,021;0,0268;9,87e-05;0,00373;0,0103;0,000182;0,0002;0,000228
3;0,0165;0,0162;0,021;0,0268;0,000141;0,0038;0,0104;0,000179;0,00019;0,000227
4;0,0165;0,0162;0,021;0,0268;0,000146;0,00383;0,0104;0,000177;0,00019;0,000211
5;0,0165;0,0162;0,021;0,0268;0,000144;0,00381;0,0104;0,000179;0,000191;0,000226
6;0,0165;0,0162;0,021;0,0268;0,000143;0,00383;0,0104;0,000182;0,000191;0,000221
7;0,0165;0,0162;0,021;0,0267;0,000145;0,00383;0,0104;0,000179;0,000188;0,000215
8;0,0165;0,0162;0,021;0,0268;0,000144;0,00379;0,0103;0,000189;0,000196;0,000225
9;0,0165;0,0162;0,021;0,0268;0,000142;0,00381;0,0104;0,000179;0,000194;0,000222
10;0,0165;0,0162;0,0211;0,0268;0,000144;0,00381;0,0104;0,000172;0,000182;0,000211

real	0m0.481s
user	0m8.338s
